country,broadcast,magazine,newspaper,online
ARE,139,30,282,53
AFG,436,90,520,119
ATG,3,2,4,2
AIA,1,0,1,0
ALB,17,7,71,24
ARM,1,4,9,3
AGO,23,10,37,10
ATA,25,15,34,14
ARG,110,34,169,71
ASM,2,0,3,2
AUT,38,16,56,46
AUS,2436,214,7421,503
ABW,2,0,2,5
AZE,6,2,15,4
BIH,17,2,53,8
BRB,5,1,7,3
BGD,55,25,288,33
BEL,64,27,110,59
BFA,5,1,17,1
BGR,23,13,22,22
BHR,61,9,82,14
BDI,3,1,3,0
BEN,7,1,23,9
BLM,0,1,0,0
BMU,8,0,16,5
BRN,7,0,9,2
BOL,22,1,25,15
BRA,436,251,602,310
BHS,30,3,48,12
BTN,0,1,13,1
BWA,4,1,9,9
BLR,13,7,14,11
BLZ,3,2,2,9
CAN,4337,257,2527,744
CCK,5,0,0,5
COD,42,20,35,17
CAF,77,20,53,9
COG,2,3,5,2
CHE,83,50,180,44
CIV,6,1,20,5
COK,0,0,4,0
CHL,144,35,161,66
CMR,23,3,43,8
CHN,883,428,1644,321
COL,114,29,115,94
CRI,18,6,22,10
CUB,117,36,136,83
CYP,16,5,18,5
CZE,29,9,37,22
DEU,589,193,750,297
DNK,29,17,54,29
DMA,0,1,1,1
DOM,22,3,16,18
DZA,28,9,23,6
ECU,16,3,35,15
EST,9,5,18,1
EGY,271,53,269,137
ESH,1,1,0,1
ERI,1,0,0,2
ESP,370,133,605,208
ETH,26,7,29,10
FIN,40,21,59,15
FJI,11,2,16,2
FLK,1,0,1,0
FSM,2,0,2,2
FRA,529,282,1090,447
GAB,4,0,1,0
GBR,5015,623,6020,2116
GRD,0,0,0,1
GEO,0,0,4,2
GUF,8,1,2,1
GGY,7,0,1,3
GHA,10,8,29,9
GIB,9,1,17,10
GRL,5,3,8,9
GMB,4,0,4,1
GIN,63,15,38,28
GNQ,2,0,1,0
GRC,128,36,155,55
SGS,1,0,0,0
GTM,10,4,7,11
GUM,0,0,3,1
GNB,9,2,3,0
GUY,25,4,20,15
HKG,111,38,271,56
HND,4,1,6,10
HRV,22,6,22,9
HTI,37,3,16,15
HUN,32,11,51,19
IDN,116,32,261,46
IRL,178,30,159,662
ISR,324,116,405,349
IMN,1,0,1,0
IND,1871,155,23237,195
IRQ,261,60,262,109
IRN,224,58,378,127
ISL,13,7,17,21
ITA,337,125,584,273
JEY,7,4,2,3
JAM,45,11,52,29
JOR,54,19,53,21
JPN,485,172,769,241
KEN,107,28,55,148
KGZ,1,1,2,1
KHM,44,5,43,3
KIR,0,0,1,2
KNA,2,0,2,0
PRK,107,25,158,49
KOR,466,92,511,90
KWT,23,1,17,2
CYM,0,0,8,2
KAZ,14,5,24,4
LAO,2,1,5,1
LBN,82,13,46,24
LCA,5,0,1,1
LIE,5,2,11,2
LKA,62,3,230,8
LBR,18,7,13,2
LSO,0,1,4,1
LTU,9,1,12,4
LUX,5,3,5,5
LVA,16,3,15,7
LBY,125,25,79,101
MAR,47,19,45,19
MCO,24,12,37,11
MDA,9,2,7,3
MNE,0,0,4,0
MAF,2,0,1,3
MDG,4,6,17,6
MHL,0,0,8,3
MKD,22,1,10,4
MLI,37,7,27,8
MMR,85,13,66,14
MNG,2,1,12,2
MAC,4,8,12,3
MNP,3,0,1,6
MTQ,0,0,0,1
MRT,6,1,4,5
MLT,13,0,9,3
MUS,5,6,15,7
MDV,1,0,3,1
MWI,2,3,7,3
MEX,297,105,303,197
MYS,333,59,462,114
MOZ,3,4,10,4
NAM,2,1,6,4
NCL,1,4,2,0
NER,8,2,6,2
NGA,167,42,156,43
NIC,25,5,29,4
NLD,137,42,176,89
NOR,47,19,62,28
NPL,116,36,202,24
NRU,5,0,7,0
NZL,211,49,679,123
OMN,10,2,15,3
PAN,11,2,11,11
PER,40,11,40,33
PYF,2,2,4,1
PNG,45,1,65,4
PHL,150,40,223,121
PAK,297,34,1043,60
POL,72,36,105,61
PRI,61,11,29,26
PSE,81,26,96,30
PRT,56,14,107,35
PLW,0,0,0,2
PRY,5,1,4,2
QAT,33,6,45,7
ROU,41,21,32,22
SRB,15,2,16,10
RUS,812,290,1107,487
RWA,78,33,68,17
SAU,99,18,91,44
SLB,37,1,37,9
SYC,4,0,3,1
SDN,36,10,20,7
SWE,62,68,137,87
SGP,50,14,155,13
SHN,0,0,1,1
SVN,9,4,11,4
SJM,0,0,1,0
SVK,10,4,13,1
SLE,5,2,6,4
SMR,1,0,2,0
SEN,16,1,10,5
SOM,22,8,26,3
SUR,0,1,1,0
SSD,86,22,58,19
SLV,10,0,12,4
SYR,370,64,309,104
TCA,2,0,0,0
TCD,3,1,5,1
ATF,0,0,1,1
TGO,4,0,0,0
THA,110,12,141,46
TJK,0,0,9,0
TLS,2,0,4,1
TKM,3,0,7,3
TUN,89,51,116,78
TON,4,0,9,2
TUR,147,44,177,70
TTO,10,2,7,0
TUV,1,0,1,1
TWN,35,17,59,14
TZA,11,9,19,28
UKR,1071,285,1254,403
UGA,35,16,26,12
USA,21791,9688,34085,25758
URY,12,6,12,6
UZB,0,0,5,1
VAT,64,14,86,67
VCT,1,0,1,0
VEN,93,23,98,43
VGB,0,0,1,3
VIR,3,0,0,1
VNM,34,13,54,26
VUT,0,9,3,0
WSM,2,1,5,4
YEM,92,15,70,24
ZAF,275,58,473,104
ZMB,6,3,7,2
ZWE,18,5,36,4
