domain,type,country
nytimes.com,newspaper,us
timesofindia.indiatimes.com,newspaper,in
theguardian.com,newspaper,gb
online.wsj.com,newspaper,us
usatoday.com,newspaper,us
washingtonpost.com,newspaper,us
latimes.com,newspaper,us
economictimes.indiatimes.com,newspaper,in
chron.com,newspaper,us
sfgate.com,newspaper,us
smh.com.au,newspaper,au
thehindu.com,newspaper,in
nypost.com,newspaper,us
hindustantimes.com,newspaper,in
indianexpress.com,newspaper,in
navbharattimes.indiatimes.com,newspaper,in
chicagotribune.com,newspaper,us
eenadu.net,newspaper,in
hollywoodreporter.com,newspaper,us
dnaindia.com,newspaper,in
