media_id,url,category,skipped_ap,total_stories
1092,foxnews.com,broadcast,4185,7509
1093,pbs.org,broadcast,4,29
1094,bbc.co.uk,broadcast,6,7220
1095,"cnn.com,money.cnn.com,ireport.cnn.com",broadcast,3,3495
1096,npr.org,broadcast,20,2114
1752,cbsnews.com,broadcast,522,4399
17973,ndtv.com,broadcast,131,8744
21328,cnbc.com,broadcast,73,3194
23195,dw.de,broadcast,5,1619
25499,nbcnews.com,broadcast,132,3381
39000,abcnews.go.com,broadcast,3443,9195
39789,"news.sky.com,sky.com",broadcast,0,47
40224,alarabiya.net,broadcast,28,618
40944,bloomberg.com,broadcast,15,1261
41452,abc.net.au,broadcast,2,5085
4451,espn.go.com,broadcast,77,8169
55476,msn.foxsports.com,broadcast,1796,6448
5856,eonline.com,broadcast,2,1724
69357,ksl.com,broadcast,5110,6057
7333,cbc.ca,broadcast,463,9575
1100,usnews.com,magazine,4393,5867
1101,newyorker.com,magazine,0,446
1104,forbes.com,magazine,105,9134
1106,economist.com,magazine,0,549
1110,theatlantic.com,magazine,10,1509
18687,adweek.com,magazine,1,319
19076,variety.com,magazine,0,1576
19831,spiegel.de,magazine,0,2039
20563,good.is,magazine,1,244
20666,tvguide.com,magazine,0,334
21542,theweek.com,magazine,1,658
25254,sportsillustrated.cnn.com,magazine,0,0
4419,time.com,magazine,347,5052
4434,wired.com,magazine,0,462
5521,rollingstone.com,magazine,2,781
5593,nationalgeographic.com,magazine,0,145
5982,businessweek.com,magazine,15,1262
71800,rd.com,magazine,0,203
72605,ew.com,magazine,1,1864
759,townhall.com,magazine,16,783
1,nytimes.com,newspaper,1158,6921
10,chron.com,newspaper,1197,3148
1150,online.wsj.com,newspaper,34,7454
14,sfgate.com,newspaper,13695,15501
18496,hollywoodreporter.com,newspaper,46,1478
19320,smh.com.au,newspaper,12,8009
19477,theglobeandmail.com,newspaper,306,4382
2,washingtonpost.com,newspaper,2066,13326
39040,usatoday.com,newspaper,845,6401
39784,"timesofindia.indiatimes.com,economictimes.indiatimes.com,navbharattimes.indiatimes.com",newspaper,57,33985
39872,hindustantimes.com,newspaper,0,15
40306,thehindu.com,newspaper,18,18284
40401,ft.com,newspaper,1,3680
41991,"news.com.au,heraldsun.com.au",newspaper,18,4528
56899,indianexpress.com,newspaper,115,12496
6,latimes.com,newspaper,850,7601
65929,dnaindia.com,newspaper,6,8071
66963,theguardian.com,newspaper,83,7123
7,nypost.com,newspaper,434,4449
9,chicagotribune.com,newspaper,769,4301
1127,rawstory.com,online,2,1770
1133,commondreams.org,online,2,281
1140,alternet.org,online,1,684
1145,drudgereport.com,online,0,0
1720,boingboing.net,online,0,747
1757,salon.com,online,273,775
19334,breitbart.com,online,60,2419
22464,mediabistro.com,online,0,5
25349,newsmax.com,online,0,0
314,huffingtonpost.com,online,32,8390
38832,bdnews24.com,online,0,1433
39407,rte.ie,online,1,2344
4418,examiner.com,online,258,804
52471,dailycurrant.com,online,0,1
56051,tmz.com,online,0,995
5880,gawker.com,online,4,680
67230,guardianlv.com,online,1,226
76561,worldnetdaily.com,online,23,1525
87310,digitalspy.co.uk,online,0,0
